"ANNEE";"AGE";"SEXE";"POP"
"2018";55;"M";4305
"2018";55;"F";4295
"2018";56;"M";4266
"2018";56;"F";4241
"2018";57;"M";4092
"2018";57;"F";4171
"2018";58;"M";4072
"2018";58;"F";4166
"2018";59;"M";3828
"2018";59;"F";4075
"2018";60;"M";3863
"2018";60;"F";3852
"2018";61;"M";3652
"2018";61;"F";4020
"2018";62;"M";3690
"2018";62;"F";3944
"2018";63;"M";3665
"2018";63;"F";3717
"2018";64;"M";3416
"2018";64;"F";3737
"2018";65;"M";3454
"2018";65;"F";3677
"2018";66;"M";3324
"2018";66;"F";3545
"2018";67;"M";3439
"2018";67;"F";3657
"2018";68;"M";3421
"2018";68;"F";3589
"2018";69;"M";3277
"2018";69;"F";3461
"2018";70;"M";3143
"2018";70;"F";3595
"2018";71;"M";3053
"2018";71;"F";3225
"2018";72;"M";2283
"2018";72;"F";2546
"2018";73;"M";2281
"2018";73;"F";2505
"2018";74;"M";2233
"2018";74;"F";2476
"2018";75;"M";1974
"2018";75;"F";2122
"2018";76;"M";1703
"2018";76;"F";1941
"2018";77;"M";1610
"2018";77;"F";1922
"2018";78;"M";1706
"2018";78;"F";1998
"2018";79;"M";1535
"2018";79;"F";1929
"2018";80;"M";1510
"2018";80;"F";1860
"2018";81;"M";1390
"2018";81;"F";1780
"2018";82;"M";1183
